	rpp	spp	rtot%	won%	rnorm%	maxDD%	sharpe	comm%	total	net	2012-12	2013-12	2014-12	2015-12	2016-12	2017-12	2018-12	2019-12	2020-12	2021-12	2022-12
46	5.000	16.000	-428.700	16.100	-0.900	98.790	-62.100	-2.300	143.000	-98626.000	5.000	-69.400	-80.300	-78.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	3.000	16.000	-420.700	10.000	-0.900	98.830	-59.000	-2.600	110.000	-98510.800	12.100	-76.700	-83.500	-65.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	1.000	19.000	-420.500	18.800	-0.900	98.920	-55.800	-3.700	96.000	-98507.200	19.300	-69.900	-66.100	-87.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	2.000	16.000	-419.400	19.500	-0.900	99.030	-65.300	-4.300	159.000	-98491.600	15.600	-73.700	-76.200	-72.500	-24.000	0.000	0.000	0.000	0.000	0.000	0.000
19	2.000	19.000	-414.700	16.300	-0.900	98.900	-57.600	-3.300	104.000	-98418.400	14.800	-71.200	-62.600	-87.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	1.000	16.000	-414.500	20.100	-0.900	99.010	-59.200	-4.300	154.000	-98416.000	12.100	-80.000	-78.800	-66.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	1.000	18.000	-412.100	16.300	-0.800	98.830	-66.300	-5.100	135.000	-98377.200	10.000	-58.500	-58.000	-88.800	-24.100	0.000	0.000	0.000	0.000	0.000	0.000
56	6.000	16.000	-411.600	14.200	-0.800	98.630	-75.600	-2.800	162.000	-98369.200	3.500	-56.300	-80.800	-54.800	-58.600	0.000	0.000	0.000	0.000	0.000	0.000
18	2.000	18.000	-402.400	16.600	-0.800	98.590	-71.700	-5.100	145.000	-98212.000	11.800	-56.200	-50.400	-74.500	-71.100	0.000	0.000	0.000	0.000	0.000	0.000
36	4.000	16.000	-397.600	12.400	-0.800	98.520	-71.300	-3.300	169.000	-98123.200	11.900	-49.900	-73.200	-73.200	-53.400	0.000	0.000	0.000	0.000	0.000	0.000
25	3.000	15.000	-397.500	17.100	-0.800	98.620	-34.800	-17.500	510.000	-98122.400	15.700	-42.200	-74.800	52.100	40.300	-59.700	-87.100	0.000	0.000	0.000	0.000
47	5.000	17.000	-379.000	13.500	-0.800	98.040	-71.500	-5.300	252.000	-97739.600	5.000	-71.000	-36.700	-44.100	-79.000	0.000	0.000	0.000	0.000	0.000	0.000
77	8.000	17.000	-362.700	10.600	-0.700	97.540	-72.100	-5.000	255.000	-97340.800	3.500	-67.100	-26.500	-62.900	-71.400	0.000	0.000	0.000	0.000	0.000	0.000
17	2.000	17.000	-360.600	16.900	-0.700	98.050	-44.300	-10.700	267.000	-97284.400	15.600	-68.300	-59.600	32.700	-86.200	0.000	0.000	0.000	0.000	0.000	0.000
63	7.000	13.000	-357.700	13.100	-0.700	98.840	-52.800	-27.800	659.000	-97203.600	4.800	-51.400	63.000	-27.300	-19.000	-14.700	-73.000	-71.400	-13.500	0.000	0.000
27	3.000	17.000	-351.200	16.000	-0.700	97.660	-72.000	-15.000	405.000	-97017.600	12.100	-61.900	-34.500	-34.800	5.800	-23.300	-79.800	0.000	0.000	0.000	0.000
37	4.000	17.000	-351.000	18.400	-0.700	97.700	-50.300	-12.300	473.000	-97011.600	11.900	-78.300	0.900	-48.700	34.500	13.100	-56.700	-63.800	0.000	0.000	0.000
5	1.000	15.000	-350.700	18.800	-0.700	98.670	-50.800	-38.800	543.000	-97000.800	20.200	-19.900	-67.000	-11.900	14.700	16.300	-86.100	-42.300	0.000	0.000	0.000
15	2.000	15.000	-350.600	16.500	-0.700	98.420	-45.800	-25.200	544.000	-96997.600	17.700	-22.100	-70.100	-5.400	54.700	-11.800	-81.400	-50.700	-7.500	0.000	0.000
4	1.000	14.000	-348.600	19.400	-0.700	99.580	-5.600	35.130	618.000	-96937.600	20.400	-27.300	32.700	-30.900	176.100	-58.000	-93.500	-49.300	0.000	0.000	0.000
57	6.000	17.000	-341.800	12.900	-0.700	99.390	-24.200	-58.200	567.000	-96722.800	3.500	-56.000	-2.700	33.700	-22.700	104.800	-53.600	-23.600	-13.100	-88.700	0.000
7	1.000	17.000	-341.200	22.400	-0.700	97.850	-27.700	-22.500	548.000	-96703.600	12.100	-70.300	-60.300	44.700	-34.000	-41.100	106.600	-36.200	-66.400	0.000	0.000
66	7.000	16.000	-338.900	15.300	-0.700	98.250	4.500	-14.200	576.000	-96625.600	3.500	-60.700	-83.500	71.100	215.000	28.800	-64.800	70.600	-52.900	-74.400	0.000
73	8.000	13.000	-337.400	14.300	-0.700	99.110	-40.200	-66.300	825.000	-96576.400	2.400	-36.200	85.100	-6.700	-0.600	-27.900	-49.700	-42.800	-8.800	-83.900	0.000
39	4.000	19.000	-337.400	17.500	-0.700	98.940	3.700	-35.000	456.000	-96576.400	11.900	-70.500	-17.300	-12.800	340.200	-77.500	-31.200	-10.200	-76.500	0.000	0.000
65	7.000	15.000	-332.100	12.000	-0.700	98.270	-29.400	-25.600	623.000	-96386.800	-1.100	-29.700	-56.600	-18.400	58.600	74.900	-53.900	9.900	-37.500	-83.300	0.000
87	9.000	17.000	-324.600	17.600	-0.700	96.550	-32.500	-11.300	557.000	-96107.600	3.500	-45.700	9.200	-54.200	-68.400	4.800	-10.100	99.700	-21.200	-70.400	0.000
75	8.000	15.000	-316.300	14.100	-0.700	98.040	-42.000	-23.800	702.000	-95768.400	-1.100	-32.500	-50.100	21.300	30.600	45.900	-36.000	-18.800	-32.600	-84.300	0.000
76	8.000	16.000	-312.000	13.000	-0.600	98.360	-22.700	-21.400	593.000	-95582.800	3.500	-54.400	-65.400	86.200	36.500	64.900	-4.100	-71.000	-23.100	-51.200	-38.300
55	6.000	15.000	-296.700	15.500	-0.600	95.750	-23.200	-18.100	735.000	-93945.200	-1.100	-42.300	-56.800	-4.700	-26.000	17.000	45.800	110.300	-45.700	-74.700	-39.900
42	5.000	12.000	-214.000	13.600	-0.400	97.810	-11.200	-112.000	964.000	-87484.000	11.900	-55.300	20.000	-8.100	99.200	18.600	-66.300	13.500	-10.300	-75.000	5.300
85	9.000	15.000	-193.800	14.600	-0.400	95.740	-71.800	-18.000	712.000	-87691.600	-1.100	-28.600	-54.000	-5.700	-7.700	11.500	21.300	-26.500	-25.200	-27.400	-5.700
35	4.000	15.000	-177.300	16.000	-0.400	96.650	1.800	-28.600	765.000	-86923.600	0.700	-51.900	-56.700	-34.000	227.100	-6.600	12.100	30.400	-47.100	-48.000	-0.100
88	9.000	18.000	-127.400	16.700	-0.300	96.500	-2.100	-19.100	551.000	-75748.000	3.500	-27.100	-10.000	-61.700	-41.400	-45.900	128.400	59.800	8.900	-2.000	-13.100
49	5.000	19.000	-126.500	17.500	-0.300	97.000	-11.000	-33.900	550.000	-78017.200	5.000	-69.000	-7.100	15.900	23.700	-12.500	46.400	-50.600	11.600	-33.800	39.200
72	8.000	12.000	-125.100	13.100	-0.300	92.260	-16.500	-37.600	933.000	-70630.800	3.600	-48.200	-36.600	-0.300	67.400	26.900	-55.500	-8.200	18.200	-18.800	1.300
45	5.000	15.000	-123.600	13.800	-0.300	94.070	-10.000	-45.500	752.000	-76394.400	-0.400	-40.700	-51.600	-12.000	46.400	84.700	-22.000	33.900	-45.500	-20.900	-5.100
59	6.000	19.000	-114.500	15.900	-0.200	96.570	20.800	-284.700	542.000	-67328.800	3.500	-66.100	38.600	-33.000	161.800	84.600	172.900	-76.600	-20.000	-57.200	-7.200
86	9.000	16.000	-95.400	13.000	-0.200	86.380	-1.900	-23.700	665.000	-63582.400	3.500	-47.600	-62.800	34.600	0.100	39.400	-39.100	76.100	22.400	-8.100	-15.600
84	9.000	14.000	-92.400	13.000	-0.200	97.260	-14.900	-285.500	752.000	-59678.400	0.900	-27.500	30.900	7.200	28.200	37.700	-62.800	-19.300	-8.400	-12.700	-8.600
83	9.000	13.000	-92.200	14.000	-0.200	92.470	-26.200	-61.400	828.000	-59600.400	0.900	-28.300	-1.400	25.400	-39.300	-6.000	-40.000	8.100	36.700	-12.900	0.800
71	8.000	11.000	-88.900	13.600	-0.200	95.270	-11.900	-131.100	996.000	-59567.200	2.900	-22.400	33.600	-44.400	43.000	-16.200	-58.300	11.300	1.800	15.300	6.300
82	9.000	12.000	-86.300	13.500	-0.200	90.620	-10.500	-135.600	882.000	-57428.000	2.100	-39.800	14.900	14.900	52.900	0.200	-52.100	3.500	22.900	-45.300	1.800
3	1.000	13.000	-66.800	18.800	-0.100	99.420	25.800	133.900	947.000	-48078.800	20.400	-44.400	-12.100	107.700	296.600	-40.200	-85.500	69.000	-36.100	-19.100	40.100
62	7.000	12.000	-48.300	12.000	-0.100	93.150	16.200	461.500	935.000	-42580.000	6.100	-52.100	110.700	-29.200	70.700	45.500	-60.600	-19.600	81.600	-43.600	1.000
22	3.000	12.000	-47.600	15.300	-0.100	97.440	21.600	119.100	981.000	-37479.200	-4.900	-48.200	113.100	29.500	358.300	-32.000	-61.800	25.600	-34.800	-44.200	-15.700
43	5.000	13.000	-47.300	13.500	-0.100	97.050	17.600	176.100	880.000	-37026.000	10.300	-54.500	64.400	-12.400	202.900	54.600	-55.600	3.700	-18.300	-55.400	9.700
61	7.000	11.000	-44.400	12.800	-0.100	88.560	16.000	-799.100	1029.000	-36503.200	4.400	-39.100	37.000	-54.900	131.700	0.400	-61.600	47.700	75.200	-21.900	-9.700
78	8.000	18.000	-43.500	12.800	-0.100	91.130	16.500	-333.900	563.000	-39832.800	3.500	-61.500	110.400	-48.400	-15.700	83.000	80.000	-48.700	29.100	-10.900	-8.700
28	3.000	18.000	-43.300	18.500	-0.100	99.280	7.500	368.400	627.000	-45233.200	9.200	-59.700	27.200	-0.900	-7.600	-46.200	-10.900	16.100	16.400	106.300	-5.500
58	6.000	18.000	-40.700	15.100	-0.100	96.360	13.500	-91.800	590.000	-45541.600	3.500	-55.000	-11.200	-46.700	17.500	163.300	-21.800	-33.500	14.800	74.200	-6.200
41	5.000	11.000	-39.500	13.300	-0.100	96.630	23.200	141.300	1041.000	-33667.600	9.600	-44.600	128.200	11.600	81.300	-30.800	-78.700	125.700	11.800	-30.900	-6.400
80	9.000	10.000	-33.100	13.800	-0.100	90.670	12.800	174.300	1079.000	-28553.600	3.100	-10.200	23.900	-21.000	242.500	-31.000	-42.200	-5.000	-30.700	-10.100	-1.900
70	8.000	10.000	-29.600	12.500	-0.100	93.470	15.400	137.900	1076.000	-25002.000	3.700	-17.700	17.000	-16.500	308.200	-4.200	-44.200	-32.600	-29.800	-12.400	-1.500
14	2.000	14.000	-25.200	16.600	-0.100	98.060	28.100	113.600	861.000	-21599.200	15.500	-36.700	24.300	-9.000	647.300	-45.000	-83.300	87.400	23.500	-58.200	41.500
24	3.000	14.000	-24.600	14.600	-0.100	97.240	27.700	117.200	850.000	-21179.600	11.500	-44.600	8.700	49.500	339.000	-53.100	-75.000	51.800	79.300	-58.800	34.700
29	3.000	19.000	-23.500	20.700	-0.000	98.790	26.000	282.600	572.000	-20319.600	12.800	-69.300	-13.000	15.100	137.000	-69.300	46.800	-33.500	5.200	217.600	-3.800
48	5.000	18.000	-17.100	15.100	-0.000	94.200	21.800	298.300	597.000	-32258.000	5.000	-61.700	-3.500	-7.900	11.300	524.400	-20.600	-53.700	4.000	-7.000	-4.500
81	9.000	11.000	-15.600	13.500	-0.000	85.170	16.700	129.600	949.000	-15065.200	2.700	-40.000	66.700	8.100	169.500	-43.000	-38.000	47.800	-14.900	-33.600	-2.800
1	1.000	11.000	-12.000	19.600	-0.000	99.310	20.700	116.800	1137.000	-13359.200	11.500	-22.600	-30.800	37.300	48.000	-53.200	-63.300	17.700	-4.100	158.900	45.400
64	7.000	14.000	-10.800	13.400	-0.000	93.880	23.500	185.100	768.000	-26158.800	4.800	-40.800	40.600	-14.100	34.300	113.500	-72.700	62.200	24.000	-43.300	34.300
21	3.000	11.000	-9.600	14.100	-0.000	97.260	25.100	113.600	1099.000	-10226.400	-4.800	-39.400	-22.500	15.700	298.300	-50.300	-65.600	118.600	-28.800	65.900	0.100
31	4.000	11.000	4.700	14.500	0.000	97.280	28.400	98.800	1060.000	2696.400	15.800	-42.200	80.800	41.100	385.700	-49.800	-78.500	22.700	47.400	-30.200	-7.400
38	4.000	18.000	10.700	16.500	0.000	89.950	22.900	134.400	606.000	-10353.600	11.900	-66.100	14.200	-19.100	96.300	12.000	-36.000	104.700	35.800	-19.900	1.400
0	1.000	10.000	21.900	17.300	0.000	91.690	26.900	141.800	514.000	-16639.600	14.100	-8.400	-74.500	110.300	142.900	-24.900	-8.600	4.200	18.200	-1.700	10.000
32	4.000	12.000	22.400	14.700	0.000	95.570	26.800	88.300	974.000	26643.600	16.600	-40.600	38.000	-13.900	715.000	-9.000	-71.500	49.600	7.400	-51.200	-8.300
52	6.000	12.000	33.600	12.500	0.100	92.920	30.700	85.300	953.000	19011.600	6.200	-56.300	60.400	9.800	255.800	34.600	-53.100	95.100	-12.700	-65.200	28.600
53	6.000	13.000	37.500	12.900	0.100	92.120	35.800	80.800	868.000	16194.800	4.900	-63.100	65.800	56.100	70.200	-5.700	-60.000	136.200	75.900	-60.700	38.700
54	6.000	14.000	39.600	14.600	0.100	95.210	29.800	87.000	781.000	18925.600	4.900	-55.100	100.400	89.400	71.600	-6.300	-51.700	-2.100	43.700	-41.700	30.500
89	9.000	19.000	44.100	14.300	0.100	85.740	25.400	65.700	518.000	57371.200	3.500	16.900	62.400	-38.000	37.200	4.400	267.700	-29.500	-1.500	-54.500	-23.200
44	5.000	14.000	52.300	16.200	0.100	96.230	37.600	87.700	796.000	33983.200	10.300	-29.200	50.700	89.800	119.600	28.600	-65.200	63.200	16.600	-69.000	30.300
12	2.000	12.000	54.400	17.100	0.100	97.790	26.700	75.200	993.000	73434.400	-4.900	-4.600	-2.800	17.600	319.800	-14.100	-64.600	60.400	-37.700	13.900	14.400
74	8.000	14.000	67.000	12.500	0.100	93.050	32.300	57.900	751.000	88974.400	2.400	-47.200	77.400	2.900	233.900	99.400	-52.600	-19.600	53.800	-48.100	-2.200
2	1.000	12.000	67.400	18.800	0.100	94.790	31.300	56.600	1002.000	99117.600	8.000	-16.500	-38.900	38.700	139.300	-2.600	-53.800	159.300	-32.600	50.100	-9.200
67	7.000	17.000	74.900	14.300	0.200	90.610	37.400	47.700	603.000	70843.600	3.500	-62.100	0.400	38.900	38.800	65.800	39.800	58.000	6.500	-29.200	1.000
60	7.000	10.000	92.700	11.600	0.200	72.730	30.200	39.800	432.000	49722.000	5.300	-38.600	32.100	-25.200	177.800	11.100	-11.100	5.600	24.000	-2.100	12.600
20	3.000	10.000	95.300	13.900	0.200	85.620	30.800	57.600	497.000	56356.000	-4.300	-27.700	-29.600	78.900	181.800	-17.000	-10.800	5.400	23.200	-2.000	12.200
79	8.000	19.000	95.900	13.800	0.200	96.760	30.600	63.800	524.000	111009.600	3.500	-68.300	56.000	26.500	605.400	4.900	84.300	-30.600	-39.900	-31.300	3.000
10	2.000	10.000	99.800	15.600	0.200	85.920	32.400	58.900	502.000	68539.600	4.300	18.500	-56.000	57.500	204.300	-17.100	-10.200	5.000	21.800	-1.900	11.600
13	2.000	13.000	106.300	17.000	0.200	98.850	32.600	66.300	931.000	193302.800	15.500	-20.900	13.800	50.300	569.600	-10.600	-83.500	-2.200	2.600	36.200	37.100
51	6.000	11.000	113.700	13.500	0.200	89.400	42.200	44.700	1017.000	207874.800	4.400	-42.100	53.400	92.900	163.000	27.500	-65.100	49.400	44.500	-35.000	6.100
30	4.000	10.000	129.400	13.400	0.300	75.540	30.300	34.000	477.000	120756.400	16.200	8.700	-44.100	-1.900	335.400	-4.800	-10.700	5.300	23.000	-2.000	12.200
23	3.000	13.000	132.400	15.500	0.300	98.480	44.000	64.200	926.000	281021.600	11.500	-34.500	72.100	153.700	348.900	-17.000	-85.500	-5.900	90.200	-6.400	30.000
34	4.000	14.000	145.700	15.900	0.300	94.560	37.100	44.900	812.000	241918.000	14.000	-46.900	29.300	-6.500	419.300	27.000	-62.200	153.900	18.600	-42.300	35.300
69	7.000	19.000	152.100	15.500	0.300	93.710	42.400	29.500	518.000	365112.000	3.500	-58.100	24.300	-33.200	197.300	230.500	287.500	-46.300	-23.100	-2.300	-17.200
50	6.000	10.000	171.900	12.300	0.400	68.380	31.300	15.200	447.000	231806.400	6.600	-38.100	6.100	2.100	500.000	1.500	-11.100	5.500	23.800	-2.100	12.500
40	5.000	10.000	173.400	14.300	0.400	72.850	33.400	27.400	457.000	239894.800	12.600	-22.700	-8.400	28.100	362.900	-6.100	-10.900	5.400	23.400	-2.000	12.300
11	2.000	11.000	230.500	17.500	0.500	95.290	58.000	31.900	1097.000	862129.600	-2.000	-14.500	17.200	131.800	142.200	-6.900	-54.800	123.000	-15.400	80.000	27.200
33	4.000	13.000	266.700	16.300	0.500	93.480	54.400	31.800	890.000	1359134.400	14.000	-32.900	84.300	113.400	279.900	63.300	-49.100	91.500	-9.200	-25.200	16.600
68	7.000	18.000	287.600	15.900	0.600	92.690	64.900	11.500	553.000	1322244.800	3.500	-42.200	6.500	23.500	157.000	-36.400	159.800	125.200	36.900	67.300	3.000
